연도,원유_수입(천배럴),원유_처리량(천배럴),원유_재고(천배럴),기타원료_수입(천배럴),석유제품_생산(천배럴),석유제품_수입(천배럴),석유제품_수출(천배럴),석유제품_국제벙커링(천배럴),석유제품_소비(천배럴),석유제품_재고(천배럴)
1985,198313,201131,5696,0,197559,24095,26440,4556,189191,10611
1986,219667,209729,9737,0,206988,31460,27367,7652,200593,10461
1987,213621,210914,7610,0,208662,46548,32662,10574,210511,9898
1988,260179,256420,5308,0,252196,41947,31247,12973,250558,10238
1989,292584,296722,5598,105,292062,49270,34802,15818,287146,14410
1990,308368,306493,3370,2126,304495,101248,27184,15115,356349,19576
1991,387156,413055,4644,672,408215,110041,69744,20714,424666,20257
1992,508986,510620,5402,2704,504560,137011,91653,26074,514224,30829
1993,560563,543969,7428,5670,539986,167759,103493,30529,564575,33934
1994,573714,560866,17323,13199,568452,190790,89993,33293,621498,36352
1995,624945,631078,10377,19075,643102,205428,120399,37070,677210,37636
1996,721927,720846,11297,15795,724128,215124,155662,42010,721063,42480
1997,873415,871974,11385,4261,911462,185811,228563,45992,793899,48785
1998,819094,825890,3598,3470,864845,175895,294488,45696,670278,46427
1999,874090,872742,3449,7230,911086,184490,293139,48900,719657,42785
2000,893943,890304,3865,5866,926897,204301,306293,46468,742557,49685
2001,859367,860115,3853,8870,907345,204781,295010,46330,743667,49356
2002,790992,786805,6996,9496,858363,228557,239127,46466,762868,43256
2003,804809,782951,27637,7685,841038,219897,209079,53139,762941,41983
2004,825790,826551,25574,4884,886413,195110,235506,58387,752329,50569
2005,843203,852439,15495,8124,922897,179354,262647,55632,761080,42588
2006,888794,878395,23691,3502,949983,191560,289070,53849,765520,46773
2007,872541,882117,11637,1133,955898,209130,292072,50543,794945,44708
2008,864872,865663,10723,1787,938749,224614,333764,50610,760641,40012
2009,835085,838475,7244,1923,912654,268214,330912,45473,778480,37582
2010,872415,872247,7611,2251,938926,276849,341784,49341,794278,41410
2011,927044,924441,10980,1691,1002257,279260,408338,49131,801642,41078
2012,947292,945162,13231,1766,1034708,309954,440897,49091,827679,48363
2013,915075,906674,19245,3559,1001980,329205,429291,51499,825202,49243
2014,927524,918345,27518,6213,1030092,326623,448822,53598,821457,49361
2015,1026107,1016157,37407,4208,1116986,307875,477425,57241,856247,51475
2016,1078119,1071731,41847,5947,1157612,334608,487716,62494,924200,50203
2017,1118167,1117376,42080,6770,1229652,314487,509113,59136,940084,51921
2018,1116281,1106266,50511,10122,1258874,341628,531563,58000,934802,62815
2019,1071923,1064210,43999,4050,1250710,352147,522099,54574,931947,54770
2020,980259,980379,42300,7163,1159002,347376,468529,59082,877179,53565
2021,960147,961382,39296,13587,1163818,392317,446559,66402,938170,52459
2022,1031283,1026121,41603,16402,1243990,367072,497020,72153,948043,52407
