Altitude(m),Temperature(K),Pressure(N/m^2),Density(Kg/m^3)
0,288.16,101325.0,1.225183163824975
1000,281.66,89872.95590765662,1.111787928110332
2000,275.16,79492.33392863213,1.0066026067396976
3000,268.66,70104.69845506758,0.9092058438313101
4000,262.16,61635.685467703224,0.8191886098191388
5000,255.66000000000003,54014.88202494859,0.7361541259876204
6000,249.16000000000003,47175.706498684034,0.6597177876366197
7000,242.66000000000003,41055.28957051531,0.589507085816798
8000,236.16000000000003,35594.35600281166,0.5251615275713928
9000,229.66000000000003,30737.107199506783,0.46633255461575795
10000,223.16000000000003,26431.10457234041,0.41268346038092707
11000,216.66000000000003,22627.15372896829,0.3638893053418254
11000,216.66000000000003,17928.967040893265,0.28833318764501137
12000,216.66000000000003,15317.114713016932,0.2463294455645582
13000,216.66000000000003,13085.751264788465,0.21044471587796587
14000,216.66000000000003,11179.4479164141,0.17978759437166436
15000,216.66000000000003,9550.850630342924,0.15359653462952313
16000,216.66000000000003,8159.503800647514,0.1312209306356708
17000,216.66000000000003,6970.845304738136,0.11210495522196398
18000,216.66000000000003,5955.347953724042,0.09577375289473997
19000,216.66000000000003,5087.7860143903235,0.08182164406007973
20000,216.66000000000003,4346.608582633499,0.06990204763148701
